Added 6331; Current median 6331; running total 6331
Added 8016; Current median 4733; running total 7361
Added 2885; Current median 4733; running total 2094
Added 950; Current median 4732; running total 6826
Added 5658; Current median 4733; running total 1559
Added 2568; Current median 4732; running total 6291
Added 6930; Current median 4733; running total 1024
Added 1683; Current median 4732; running total 5756
Added 9385; Current median 4733; running total 489
Added 7510; Current median 4733; running total 5222
Added 8984; Current median 4734; running total 9956
Added 9722; Current median 4734; running total 4690
Added 1995; Current median 4734; running total 9424
Added 2473; Current median 4733; running total 4157
Added 7156; Current median 4734; running total 8891
Added 6391; Current median 4734; running total 3625
Added 6796; Current median 4737; running total 8362
Added 1191; Current median 4734; running total 3096
Added 7610; Current median 4737; running total 7833
Added 1251; Current median 4734; running total 2567
Added 5688; Current median 4737; running total 7304
Added 3673; Current median 4734; running total 2038
Added 6048; Current median 4737; running total 6775
Added 887; Current median 4734; running total 1509
Added 8314; Current median 4737; running total 6246
Added 96; Current median 4734; running total 980
Added 5879; Current median 4737; running total 5717
Added 5751; Current median 4737; running total 454
Added 4944; Current median 4740; running total 5194
Added 2706; Current median 4737; running total 9931
Added 2900; Current median 4737; running total 4668
Added 2512; Current median 4734; running total 9402
Added 2776; Current median 4734; running total 4136
Added 6848; Current median 4734; running total 8870
Added 2166; Current median 4734; running total 3604
Added 7204; Current median 4734; running total 8338
Added 9727; Current median 4737; running total 3075
Added 8994; Current median 4737; running total 7812
Added 3493; Current median 4737; running total 2549
Added 6787; Current median 4737; running total 7286
Added 5786; Current median 4740; running total 2026
Added 5313; Current median 4740; running total 6766
Added 8899; Current median 4741; running total 1507
Added 8951; Current median 4741; running total 6248
Added 6407; Current median 4747; running total 995
Added 7410; Current median 4747; running total 5742
Added 7783; Current median 4748; running total 490
Added 320; Current median 4747; running total 5237
Added 9436; Current median 4748; running total 9985
Added 4775; Current median 4748; running total 4733
Added 637; Current median 4748; running total 9481
Added 9984; Current median 4748; running total 4229
Added 6133; Current median 4749; running total 8978
Added 5021; Current median 4749; running total 3727
Added 3147; Current median 4749; running total 8476
Added 6038; Current median 4749; running total 3225
Added 5657; Current median 4750; running total 7975
Added 6115; Current median 4750; running total 2725
Added 7059; Current median 4751; running total 7476
Added 2400; Current median 4750; running total 2226
Added 8614; Current median 4751; running total 6977
Added 4837; Current median 4751; running total 1728
Added 5988; Current median 4753; running total 6481
Added 5196; Current median 4753; running total 1234
Added 136; Current median 4753; running total 5987
Added 1304; Current median 4751; running total 738
Added 4201; Current median 4751; running total 5489
Added 9779; Current median 4751; running total 240
Added 1613; Current median 4751; running total 4991
Added 1931; Current median 4750; running total 9741
Added 3081; Current median 4750; running total 4491
Added 2646; Current median 4749; running total 9240
Added 8421; Current median 4750; running total 3990
Added 7750; Current median 4750; running total 8740
Added 1610; Current median 4750; running total 3490
Added 9582; Current median 4750; running total 8240
Added 5315; Current median 4751; running total 2991
Added 9466; Current median 4751; running total 7742
Added 2066; Current median 4751; running total 2493
Added 6024; Current median 4751; running total 7244
Added 3271; Current median 4751; running total 1995
Added 4162; Current median 4750; running total 6745
Added 3238; Current median 4750; running total 1495
Added 135; Current median 4749; running total 6244
Added 7808; Current median 4750; running total 994
Added 4584; Current median 4749; running total 5743
Added 3634; Current median 4749; running total 492
Added 1523; Current median 4748; running total 5240
Added 2973; Current median 4748; running total 9988
Added 7122; Current median 4748; running total 4736
Added 3133; Current median 4748; running total 9484
Added 6881; Current median 4748; running total 4232
Added 5487; Current median 4749; running total 8981
Added 451; Current median 4748; running total 3729
Added 528; Current median 4748; running total 8477
Added 9515; Current median 4748; running total 3225
Added 9223; Current median 4749; running total 7974
Added 4745; Current median 4748; running total 2722
Added 7648; Current median 4749; running total 7471
Added 8526; Current median 4749; running total 2220
Added 5709; Current median 4750; running total 6970
Added 26; Current median 4749; running total 1719
Added 3857; Current median 4749; running total 6468
Added 3765; Current median 4748; running total 1216
Added 987; Current median 4748; running total 5964
Added 330; Current median 4747; running total 711
Added 7358; Current median 4748; running total 5459
Added 8625; Current median 4748; running total 207
Added 9093; Current median 4749; running total 4956
Added 7768; Current median 4749; running total 9705
Added 9484; Current median 4750; running total 4455
Added 7611; Current median 4750; running total 9205
Added 6319; Current median 4751; running total 3956
Added 3974; Current median 4750; running total 8706
Added 1181; Current median 4750; running total 3456
Added 5495; Current median 4750; running total 8206
Added 2870; Current median 4750; running total 2956
Added 2223; Current median 4749; running total 7705
Added 7957; Current median 4750; running total 2455
Added 3333; Current median 4749; running total 7204
Added 4575; Current median 4749; running total 1953
Added 2775; Current median 4748; running total 6701
Added 1080; Current median 4748; running total 1449
Added 5157; Current median 4748; running total 6197
Added 8467; Current median 4749; running total 946
Added 4738; Current median 4748; running total 5694
Added 8145; Current median 4749; running total 443
Added 6255; Current median 4749; running total 5192
